School,Conf,Coach,NCAAFBREV16 ,MedianConfSal,SchoolPay,TotalPay,BonusMax,PayPlusBonus,StadSize, Graduation Rate (GSR) , Seat Rank , GSRank , Combo Rank , TrueRank ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Texas Tech,Big 12,Kliff Kingsbury,88804476,3775000,1902.40113,1902.40113,770.4160247,1915.241397,60862,70,86,34,72,51,5,7,0.714285714,12.46,-11.12,1.34,90.62
Toledo,MAC,Jason Candle,32925921,492413,577.8120185,577.8120185,300.4622496,685.6702619,26248,71,16,40,35,106,9,4,2.25,7.2,-2.26,4.94,82.66
Troy,Sun Belt,Neal Brown,29962107,675000,416.0246533,416.0246533,251.6692347,467.3857216,30000,67,20,22,27,115,10,3,3.333333333,1.63,2.48,4.1,77.3
Tulane,AAC,Willie Fritz,,2458033,836.6718028,836.6718028,0,836.6718028,30000,68,20,28,34,108,4,8,0.5,-5.62,-0.92,-6.54,70.55
Tulsa,AAC,Philip Montgomery,,2458033,779.751926,779.751926,0,779.751926,35542,84,43,101,65,65,10,3,3.333333333,11.07,-4.16,6.91,88.48
UCLA,Pac-12,Chip Kelly,104106646,2752233,1694.915254,1694.915254,557.2675912,1694.915254,92542,79,120,84,97,17,4,8,0.5,-0.86,3.49,2.63,71.93
Utah,Pac-12,Kyle Whittingham,83672639,2752233,1945.514638,1945.514638,480.2259887,2088.897791,45017,78,56,79,79,43,9,4,2.25,3.31,5.35,8.65,75.34
Utah State,Mt. West,Matt Wells,34398296,879288,462.2496148,462.2496148,392.9121726,495.6343092,25513,78,15,79,45,92,3,9,0.333333333,-4.63,-1.35,-5.99,69.88
Vanderbilt,SEC,Derek Mason,,3929800,1444.541859,1444.541859,0,1444.541859,40350,68,53,28,54,79,6,7,0.857142857,-2.05,5.26,3.21,72.09
Virginia,ACC,Bronco Mendenhall,92865175,2458033,1823.317925,1823.317925,1111.967129,1861.838726,61500,85,88,107,96,18,2,10,0.2,-4.34,-3.91,-8.25,70.74
Virginia Tech,ACC,Justin Fuente,87427526,2458033,2054.442732,2054.442732,223.4206471,2092.963534,66233,86,98,114,105,12,10,4,2.5,4.26,6.74,11,82.68
Wake Forest,ACC,Dave Clawson,,2458033,940.719055,940.719055,0,940.719055,31500,78,35,79,58,75,7,6,1.166666667,-4.32,5.04,0.73,69.97
Washington,Pac-12,Chris Petersen,128745183,2752233,2247.046739,2248.330765,539.2912173,2402.41397,70500,93,103,121,111,6,12,2,6,7.59,12.39,19.98,88.28
Washington State,Pac-12,Mike Leach,64294520,2752233,1797.637391,1797.637391,372.3677452,1836.158192,32248,93,37,121,83,37,8,5,1.6,5.7,3.33,9.03,84.22
West Virginia,Big 12,Dana Holgorsen,110565870,3775000,1851.566513,1857.986646,513.6106831,1904.211608,60000,66,82,20,66,62,10,3,3.333333333,4.01,5.56,9.57,78.75
Western Michigan,MAC,Tim Lester,38516531,492413,410.8885465,410.8885465,177.9661017,431.0477658,30200,74,26,60,39,100,13,1,13,7.61,4.42,12.03,86.24
Wisconsin,Big Ten,Paul Chryst,143420668,3775000,1926.040062,1926.040062,0,2074.98716,80321,71,112,40,84,32,11,3,3.666666667,2.13,13.17,15.3,78.74
Wyoming,Mt. West,Craig Bohl,40372222,879288,725.2182845,725.2182845,231.1248074,846.4304058,29181,97,19,125,66,59,8,6,1.333333333,9.04,-7.68,1.37,81.23
